x,TTR,p,rho,U_0,U_1,U_2
-5,348.4,100000,1.00008,0,0,0
-4.89899,348.4,100000,1.00008,1.26743e-13,0,0
-4.79798,348.4,100000,1.00008,1.14109e-13,0,0
-4.69697,348.4,100000,1.00008,3.08835e-14,0,0
-4.59596,348.4,100000,1.00008,3.46621e-14,0,0
-4.49495,348.4,100000,1.00008,1.47761e-13,0,0
-4.39394,348.4,100000,1.00008,2.62648e-13,0,0
-4.29293,348.4,100000,1.00008,2.38782e-13,0,0
-4.19192,348.4,100000,1.00008,7.6281e-14,0,0
-4.09091,348.4,100000,1.00008,-6.19508e-14,0,0
-3.9899,348.4,100000,1.00008,-6.56619e-14,0,0
-3.88889,348.4,100000,1.00008,-3.28065e-14,0,0
-3.78788,348.4,100000,1.00008,-5.68066e-14,0,0
-3.68687,348.4,100000,1.00008,-8.28338e-14,0,0
-3.58586,348.4,100000,1.00008,-6.39717e-14,0,0
-3.48485,348.4,100000,1.00008,-5.32975e-14,0,0
-3.38384,348.4,100000,1.00008,-6.01809e-14,0,0
-3.28283,348.4,100000,1.00008,-5.00212e-14,0,0
-3.18182,348.4,100000,1.00008,-8.1021e-15,0,0
-3.08081,348.4,100000,1.00008,-1.75209e-14,0,0
-2.9798,348.4,100000,1.00008,-1.63328e-14,0,0
-2.87879,348.4,100000,1.00008,-2.47289e-14,0,0
-2.77778,348.4,100000,1.00008,2.0883e-15,0,0
-2.67677,348.4,100000,1.00008,6.60539e-14,0,0
-2.57576,348.4,100000,1.00008,5.3371e-14,0,0
-2.47475,348.4,100000,1.00008,7.43765e-14,0,0
-2.37374,348.4,100000,1.00008,-3.71852e-14,0,0
-2.27273,348.4,100000,1.00008,-1.02351e-13,0,0
-2.17172,348.4,100000,1.00008,5.29239e-14,0,0
-2.07071,348.4,100000,1.00008,8.40169e-10,0,0
-1.9697,348.4,100000,1.00008,8.3166e-06,0,0
-1.86869,348.398,99998.1,1.00007,0.00495535,0,0
-1.76768,348.288,99886.4,0.999268,0.30383,0,0
-1.66667,347.116,98706.3,0.99079,3.47896,0,0
-1.56566,343.366,95013.4,0.964095,13.6325,0,0
-1.46465,337.503,89457.4,0.923438,29.557,0,0
-1.36364,330.963,83541.7,0.879402,47.4641,0,0
-1.26263,324.418,77907.9,0.836647,65.5589,0,0
-1.16162,317.973,72632.2,0.795806,83.551,0,0
-1.06061,311.606,67675.8,0.756657,101.504,0,0
-0.959596,305.291,63004.6,0.719006,119.483,0,0
-0.858586,299.015,58595.8,0.682732,137.531,0,0
-0.757576,292.769,54431.3,0.647744,155.679,0,0
-0.656566,286.543,50495.3,0.613965,173.958,0,0
-0.555556,280.332,46775,0.581337,192.394,0,0
-0.454545,274.132,43260.6,0.549823,210.995,0,0
-0.353535,267.962,39953.6,0.51949,229.736,0,0
-0.252525,261.863,36866.2,0.490517,248.455,0,0
-0.151515,255.964,34055.7,0.46357,266.694,0,0
-0.0505051,250.685,31688.7,0.44044,283.216,0,0
0.0505051,247.559,30170.9,0.424643,294.445,0,0
0.151515,246.377,29832.7,0.421897,296.817,0,0
0.252525,247.592,30439.4,0.428363,292.276,0,0
0.353535,247.303,30380.9,0.42804,292.754,0,0
0.454545,246.999,30308.5,0.427545,293.239,0,0
0.555556,247.081,30293.9,0.427199,293.371,0,0
0.656566,247.425,30269.5,0.426261,293.558,0,0
0.757576,248.393,30238.8,0.424171,293.716,0,0
0.858586,250.812,30231.7,0.419993,293.618,0,0
0.959596,256.395,30235.8,0.410951,293.483,0,0
1.06061,268.447,30249.8,0.392839,293.549,0,0
1.16162,291.124,30283.6,0.362886,293.818,0,0
1.26263,325.25,30308.3,0.325135,294.024,0,0
1.36364,362.809,30380.2,0.291953,294.713,0,0
1.46465,389.351,30489.5,0.27288,295.778,0,0
1.56566,398.647,30277.7,0.264637,293.721,0,0
1.66667,399.718,30043.2,0.261882,291.425,0,0
1.76768,399.749,30023.6,0.261691,291.18,0,0
1.86869,399.645,30068.2,0.262148,291.538,0,0
1.9697,399.638,30216,0.263442,292.884,0,0
2.07071,399.428,30319.8,0.264485,293.855,0,0
2.17172,396.739,29816,0.261813,289.073,0,0
2.27273,380.693,26245.9,0.239031,250.874,0,0
2.37374,333.762,17176.4,0.177296,132.855,0,0
2.47475,284.811,10607,0.12973,14.1548,0,0
2.57576,278.729,10003,0.125043,0.0706987,0,0
2.67677,278.7,10000,0.125019,8.24567e-06,0,0
2.77778,278.7,10000,0.125019,8.49078e-11,0,0
2.87879,278.7,10000,0.125019,-6.94416e-15,0,0
2.9798,278.7,10000,0.125019,-4.85173e-14,0,0
3.08081,278.7,10000,0.125019,1.12062e-14,0,0
3.18182,278.7,10000,0.125019,2.59579e-14,0,0
3.28283,278.7,10000,0.125019,4.83152e-15,0,0
3.38384,278.7,10000,0.125019,-1.11878e-14,0,0
3.48485,278.7,10000,0.125019,-3.08078e-14,0,0
3.58586,278.7,10000,0.125019,1.43476e-14,0,0
3.68687,278.7,10000,0.125019,6.01276e-14,0,0
3.78788,278.7,10000,0.125019,6.15054e-14,0,0
3.88889,278.7,10000,0.125019,-3.13896e-14,0,0
3.9899,278.7,10000,0.125019,-7.42486e-14,0,0
4.09091,278.7,10000,0.125019,-4.62944e-14,0,0
4.19192,278.7,10000,0.125019,-7.07827e-14,0,0
4.29293,278.7,10000,0.125019,-7.28647e-14,0,0
4.39394,278.7,10000,0.125019,-4.7066e-14,0,0
4.49495,278.7,10000,0.125019,-4.81009e-14,0,0
4.59596,278.7,10000,0.125019,-7.90251e-14,0,0
4.69697,278.7,10000,0.125019,-1.15534e-13,0,0
4.79798,278.7,10000,0.125019,-5.20016e-14,0,0
4.89899,278.7,10000,0.125019,-9.73101e-14,0,0
5,278.7,10000,0.125019,0,0,0
